Date,AAPL,ABT,ADBE,AMD,AMZN,BA,BAC,BLK,BMY,C,CAT,COP,COST,CVX,EOG,GE,GOOGL,GS,HAL,HD,HON,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MCD,MDLZ,MMM,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,PSX,SBUX,SLB,TSLA,UNH,UNP,WFC,WMT,XOM
2024-01-02,185.63999938964844,109.8499984741211,580.0700073242188,138.5800018310547,149.92999267578125,251.75999450683594,33.900001525878906,800.2999877929688,52.7599983215332,53.040000915527344,292.7099914550781,117.58999633789062,650.6500244140625,149.47999572753906,121.5999984741211,100.51875305175781,138.1699981689453,388.29998779296875,36.119998931884766,345.0799865722656,209.0,159.97000122070312,172.0800018310547,38.119998931884766,59.81999969482422,592.2000122070312,456.1199951171875,218.64999389648438,297.0400085449219,73.83999633789062,91.9732437133789,113.23999786376953,93.9000015258789,370.8699951171875,106.55000305175781,48.167999267578125,104.05999755859375,172.91000366210938,29.729999542236328,148.74000549316406,134.2899932861328,93.66999816894531,51.97999954223633,248.4199981689453,539.3400268554688,243.42999267578125,49.33000183105469,53.0966682434082,102.36000061035156
2024-01-03,184.25,109.5199966430664,571.7899780273438,135.32000732421875,148.47000122070312,243.91000366210938,33.529998779296875,784.1500244140625,52.29999923706055,53.63999938964844,284.29998779296875,119.93000030517578,644.6900024414062,152.3300018310547,124.9800033569336,99.0103759765625,138.9199981689453,381.7900085449219,36.56999969482422,338.260009765625,204.52999877929688,160.97000122070312,171.3300018310547,38.08000183105469,59.959999084472656,617.7000122070312,459.1199951171875,212.27000427246094,294.3900146484375,73.27999877929688,90.12541961669922,114.7699966430664,91.91000366210938,370.6000061035156,104.04000091552734,47.569000244140625,102.45999908447266,172.9499969482422,29.729999542236328,147.83999633789062,135.75,93.2300033569336,52.650001525878906,238.4499969482422,542.030029296875,241.6999969482422,48.68000030517578,53.099998474121094,103.22000122070312
2024-01-04,181.91000366210938,110.9800033569336,567.0499877929688,136.00999450683594,144.57000732421875,244.94000244140625,33.79999923706055,785.9500122070312,52.040000915527344,53.77000045776367,286.1000061035156,116.4800033569336,648.3499755859375,150.66000366210938,121.0199966430664,99.48922729492188,136.38999938964844,382.95001220703125,35.779998779296875,338.5899963378906,204.89999389648438,160.6300048828125,171.41000366210938,37.779998779296875,59.7599983215332,614.5,457.8699951171875,211.22000122070312,291.739990234375,73.27999877929688,90.44314575195312,117.01000213623047,92.1500015258789,367.94000244140625,102.30000305175781,47.99800109863281,102.58999633789062,171.47000122070312,29.09000015258789,148.64999389648438,135.27999877929688,93.55000305175781,51.689998626708984,237.92999267578125,545.4199829101562,241.05999755859375,49.279998779296875,52.586666107177734,102.31999969482422
2024-01-05,181.17999267578125,110.80000305175781,564.5999755859375,138.5800018310547,145.24000549316406,249.0,34.43000030517578,782.8300170898438,52.22999954223633,54.33000183105469,288.92999267578125,116.52999877929688,656.010009765625,150.39999389648438,120.37999725341797,100.79010772705078,135.72999572753906,386.44000244140625,35.970001220703125,342.94000244140625,203.52999877929688,161.1300048828125,172.27000427246094,37.939998626708984,59.66999816894531,618.5499877929688,456.5,212.50999450683594,288.989990234375,73.08999633789062,90.7943115234375,117.22000122070312,93.23999786376953,367.75,102.08000183105469,49.09700012207031,102.7300033569336,168.94000244140625,29.469999313354492,147.4199981689453,135.24000549316406,92.98999786376953,51.86000061035156,237.49000549316406,537.3800048828125,239.91000366210938,49.91999816894531,52.23666763305664,102.62999725341797
2024-01-08,185.55999755859375,112.4000015258789,580.5499877929688,146.17999267578125,149.10000610351562,229.0,34.15999984741211,797.1900024414062,51.790000915527344,54.0099983215332,292.25,114.5,661.6900024414062,149.5,117.7699966430664,102.37828826904297,138.83999633789062,388.8599853515625,35.209999084472656,347.92999267578125,202.66000366210938,161.52999877929688,172.02000427246094,38.25,60.11000061035156,626.030029296875,458.6000061035156,217.13999938964844,291.8999938964844,73.70999908447266,91.02006530761719,117.37999725341797,93.51000213623047,374.69000244140625,103.62000274658203,52.25299835205078,104.66000366210938,169.11000061035156,29.579999923706055,148.69000244140625,133.85000610351562,94.19000244140625,50.31999969482422,240.4499969482422,536.52001953125,240.6199951171875,49.91999816894531,52.75,100.91999816894531
2024-01-09,185.13999938964844,112.7300033569336,586.2000122070312,149.25999450683594,151.3699951171875,225.75999450683594,33.630001068115234,794.52001953125,51.279998779296875,53.47999954223633,292.2900085449219,112.76000213623047,667.1799926757812,145.6999969482422,116.06999969482422,102.77733612060547,140.9499969482422,383.739990234375,34.5099983215332,346.19000244140625,201.6300048828125,161.6300048828125,170.66000366210938,38.54999923706055,60.0,625.47998046875,456.2900085449219,217.00999450683594,290.8699951171875,73.73999786376953,91.22073364257812,118.43000030517578,92.05999755859375,375.7900085449219,102.73999786376953,53.13999938964844,103.62999725341797,167.1699981689453,29.399999618530273,149.3000030517578,133.2100067138672,93.08999633789062,48.560001373291016,234.9600067138672,538.3699951171875,237.41000366210938,49.290000915527344,53.10333251953125,99.66999816894531
2024-01-10,186.19000244140625,114.4000015258789,591.030029296875,148.5399932861328,153.72999572753906,227.83999633789062,33.599998474121094,792.3599853515625,50.65999984741211,53.02000045776367,293.3500061035156,111.18000030517578,672.760009765625,144.5,114.98999786376953,103.5115737915039,142.27999877929688,381.9599914550781,34.06999969482422,356.79998779296875,202.39999389648438,161.8699951171875,171.02000427246094,37.88999938964844,60.20000076293945,630.1900024414062,455.3999938964844,220.2100067138672,294.0899963378906,73.08000183105469,90.55184173583984,118.86000061035156,91.4800033569336,382.7699890136719,103.7699966430664,54.349998474121094,103.91999816894531,166.9199981689453,28.989999771118164,149.94000244140625,129.41000366210938,93.5,48.45000076293945,233.94000244140625,537.6400146484375,239.0,49.08000183105469,53.76333236694336,98.69000244140625
2024-01-11,185.58999633789062,113.5,597.489990234375,148.02000427246094,155.17999267578125,222.66000366210938,33.150001525878906,792.6099853515625,50.220001220703125,52.08000183105469,292.05999755859375,111.0,673.5800170898438,145.27999877929688,114.9800033569336,103.61532592773438,142.0800018310547,379.75,34.189998626708984,356.5299987792969,201.6699981689453,161.14999389648438,170.3000030517578,37.58000183105469,59.810001373291016,635.719970703125,453.1300048828125,220.16000366210938,294.1499938964844,72.77999877929688,91.07023620605469,118.43000030517578,90.51000213623047,384.6300048828125,105.9000015258789,54.821998596191406,104.7699966430664,166.1300048828125,28.399999618530273,150.50999450683594,130.27999877929688,92.94000244140625,48.79999923706055,227.22000122070312,539.6799926757812,236.3800048828125,49.040000915527344,53.70333480834961,98.66999816894531
2024-01-12,185.9199981689453,113.91999816894531,596.5399780273438,146.55999755859375,154.6199951171875,217.6999969482422,32.79999923706055,799.5999755859375,50.310001373291016,52.619998931884766,290.4100036621094,111.69999694824219,683.239990234375,147.27000427246094,116.05000305175781,103.5833969116211,142.64999389648438,377.75,34.47999954223633,355.7099914550781,201.10000610351562,162.38999938964844,169.0500030517578,37.68000030517578,60.38999938964844,642.9199829101562,463.17999267578125,218.91000366210938,293.4700012207031,73.12000274658203,90.40133666992188,118.62999725341797,89.69999694824219,388.4700012207031,105.05999755859375,54.709999084472656,106.5999984741211,167.27000427246094,28.700000762939453,150.60000610351562,132.8699951171875,91.9800033569336,49.95000076293945,218.88999938964844,521.510009765625,237.7100067138672,47.400001525878906,53.77333450317383,99.94999694824219
2024-01-16,183.6300048828125,113.76000213623047,597.6799926757812,158.74000549316406,153.16000366210938,200.52000427246094,32.119998931884766,791.3800048828125,50.0,51.869998931884766,287.2300109863281,108.63999938964844,681.489990234375,143.69000244140625,112.13999938964844,102.1308822631836,142.49000549316406,380.45001220703125,33.5099983215332,358.42999267578125,197.77000427246094,160.52000427246094,167.99000549316406,37.61000061035156,59.9900016784668,634.5700073242188,457.8399963378906,220.42999267578125,291.0899963378906,72.8499984741211,90.0,118.48999786376953,85.97000122070312,390.2699890136719,101.72000122070312,56.38199996948242,106.56999969482422,166.1699981689453,28.31999969482422,149.7899932861328,129.47000122070312,92.69999694824219,48.29999923706055,219.91000366210938,519.1500244140625,236.2100067138672,46.81999969482422,53.94333267211914,97.69000244140625
